,Player,Age,Pos,Ht,Wt,Birth Date,Birth,Exp,PlayerLabel,Salary,Salary_number,Team
1,Desmond Bane,27.0,G,6-5,215.0,"June 25, 1998",US,5,"Desmond
Bane","$36,725,670",36.72567,ORL
2,Franz Wagner,24.0,G-F,6-10,225.0,"August 27, 2001",DE,4,"Franz
Wagner","$38,661,750",38.66175,ORL
3,Goga Bitadze,26.0,C,6-11,250.0,"July 20, 1999",GE,6,"Goga
Bitadze","$8,333,333",8.333333,ORL
4,Jalen Suggs,24.0,G,6-5,205.0,"June 3, 2001",US,4,"Jalen
Suggs","$35,000,000",35.0,ORL
5,Jett Howard,21.0,G,6-8,215.0,"September 14, 2003",US,2,"Jett
Howard","$5,529,720",5.52972,ORL
6,Jonathan Isaac,27.0,F,6-10,230.0,"October 3, 1997",US,6,"Jonathan
Isaac","$15,000,000",15.0,ORL
7,Moritz Wagner,28.0,F-C,6-11,245.0,"April 26, 1997",DE,7,"Moritz
Wagner","$5,000,000",5.0,ORL
8,Paolo Banchero,22.0,F,6-10,250.0,"November 12, 2002",US,3,"Paolo
Banchero","$15,334,769",15.334769,ORL
9,Tristan Da Silva,24.0,F,6-8,217.0,"May 15, 2001",DE,1,"Tristan
Da Silva","$3,809,520",3.80952,ORL
10,Wendell Carter Jr.,26.0,C,6-10,270.0,"April 16, 1999",US,7,"Wendell
Carter Jr.","$10,850,000",10.85,ORL
0,Adem Bona,22.0,F-C,6-10,235.0,"March 28, 2003",NG,1,"Adem
Bona","$1,955,377",1.955377,PHI
1,Andre Drummond,32.0,C,6-11,279.0,"August 10, 1993",US,13,"Andre
Drummond","$5,000,000",5.0,PHI
2,Jared McCain,21.0,G,6-2,195.0,"February 20, 2004",US,1,"Jared
McCain","$4,221,360",4.22136,PHI
3,Joel Embiid,31.0,C,7-0,280.0,"March 16, 1994",CM,9,"Joel
Embiid","$55,224,526",55.224526,PHI
4,Kelly Oubre Jr.,29.0,F,6-8,203.0,"December 9, 1995",US,10,"Kelly
Oubre Jr.","$8,382,150",8.38215,PHI
5,Lonnie Walker IV,26.0,G,6-4,204.0,"December 14, 1998",US,7,"Lonnie
Walker IV","$2,940,876",2.940876,PHI
6,Paul George,35.0,F-G,6-8,220.0,"May 2, 1990",US,15,"Paul
George","$51,666,090",51.66609,PHI
7,Tyrese Maxey,24.0,G,6-2,200.0,"November 4, 2000",US,5,"Tyrese
Maxey","$37,958,760",37.95876,PHI
0,Devin Booker,28.0,G,6-6,206.0,"October 30, 1996",US,10,"Devin
Booker","$53,142,264",53.142264,PHO
1,Dillon Brooks,29.0,F-G,6-6,225.0,"January 22, 1996",CA,8,"Dillon
Brooks","$21,124,110",21.12411,PHO
2,Grayson Allen,29.0,G,6-4,198.0,"October 8, 1995",US,7,"Grayson
Allen","$16,875,000",16.875,PHO
3,Jalen Green,23.0,G,6-4,178.0,"February 9, 2002",US,4,"Jalen
Green","$33,333,333",33.333333,PHO
4,Jordan Goodwin,26.0,G,6-3,200.0,"October 23, 1998",US,4,"Jordan
Goodwin","$2,349,578",2.349578,PHO
5,Mark Williams,23.0,C,7-0,241.0,"December 16, 2001",US,3,"Mark
Williams","$6,276,531",6.276531,PHO
6,Nick Richards,27.0,F-C,7-0,245.0,"November 29, 1997",JM,5,"Nick
Richards","$5,000,000",5.0,PHO
7,Oso Ighodaro,23.0,F,6-10,235.0,"July 14, 2002",US,1,"Oso
Ighodaro","$1,955,377",1.955377,PHO
8,Royce O'Neale,32.0,F,6-4,226.0,"June 5, 1993",US,8,"Royce
O'Neale","$10,125,000",10.125,PHO
9,Ryan Dunn,22.0,F,6-6,216.0,"January 7, 2003",US,1,"Ryan
Dunn","$2,657,760",2.65776,PHO
0,Deni Avdija,24.0,G-F,6-9,210.0,"January 3, 2001",IL,5,"Deni
Avdija","$14,375,000",14.375,POR
1,Donovan Clingan,21.0,C,7-2,280.0,"February 23, 2004",US,1,"Donovan
Clingan","$7,178,400",7.1784,POR
2,Duop Reath,29.0,C,6-11,245.0,"June 26, 1996",SS,2,"Duop
Reath","$2,221,677",2.221677,POR
3,Jerami Grant,31.0,F,6-7,210.0,"March 12, 1994",US,11,"Jerami
Grant","$32,000,001",32.000001,POR
4,Jrue Holiday,35.0,G,6-4,205.0,"June 12, 1990",US,16,"Jrue
Holiday","$32,400,000",32.4,POR
5,Kris Murray,25.0,F,6-8,220.0,"August 19, 2000",US,2,"Kris
Murray","$3,132,000",3.132,POR
6,Matisse Thybulle,28.0,G,6-5,201.0,"March 4, 1997",US,6,"Matisse
Thybulle","$11,550,000",11.55,POR
7,Rayan Rupert,21.0,G,6-6,205.0,"May 31, 2004",FR,2,"Rayan
Rupert","$2,221,677",2.221677,POR
8,Robert Williams,27.0,C-F,6-9,237.0,"October 17, 1997",US,7,"Robert
Williams","$13,285,713",13.285713,POR
9,Scoot Henderson,21.0,G,6-3,202.0,"February 3, 2004",US,2,"Scoot
Henderson","$10,748,040",10.74804,POR
10,Shaedon Sharpe,22.0,G,6-6,200.0,"May 30, 2003",CA,3,"Shaedon
Sharpe","$8,399,983",8.399983,POR
11,Toumani Camara,25.0,F,6-8,220.0,"May 8, 2000",BE,2,"Toumani
Camara","$2,221,677",2.221677,POR
0,Dario Šarić,31.0,F-C,6-10,225.0,"April 8, 1994",HR,8,"Dario
Šarić","$5,426,400",5.4264,SAC
1,DeMar DeRozan,36.0,G-F,6-6,220.0,"August 7, 1989",US,16,"DeMar
DeRozan","$24,570,000",24.57,SAC
2,Devin Carter,23.0,G,6-2,195.0,"March 18, 2002",US,1,"Devin
Carter","$4,923,720",4.92372,SAC
3,Domantas Sabonis,29.0,C-F,6-10,240.0,"May 3, 1996",US,9,"Domantas
Sabonis","$43,636,000",43.636,SAC
4,Isaac Jones,25.0,F,6-8,245.0,"July 11, 2000",US,1,"Isaac
Jones","$1,955,377",1.955377,SAC
5,Keegan Murray,25.0,F,6-8,215.0,"August 19, 2000",US,3,"Keegan
Murray","$11,144,093",11.144093,SAC
6,Keon Ellis,25.0,G,6-6,175.0,"January 8, 2000",US,3,"Keon
Ellis","$2,301,587",2.301587,SAC
7,Malik Monk,27.0,G,6-3,200.0,"February 4, 1998",US,8,"Malik
Monk","$18,797,619",18.797619,SAC
8,Terence Davis,28.0,G,6-4,201.0,"May 16, 1997",US,5,"Terence
Davis","$2,546,675",2.546675,SAC
9,Zach LaVine,30.0,G-F,6-5,200.0,"March 10, 1995",US,11,"Zach
LaVine","$47,499,660",47.49966,SAC
0,De'Aaron Fox,27.0,G,6-3,185.0,"December 20, 1997",US,8,"De'Aaron
Fox","$37,096,620",37.09662,SAS
1,Devin Vassell,25.0,G-F,6-5,200.0,"August 23, 2000",US,5,"Devin
Vassell","$27,000,000",27.0,SAS
2,Harrison Barnes,33.0,F,6-8,225.0,"May 30, 1992",US,13,"Harrison
Barnes","$19,000,000",19.0,SAS
3,Jeremy Sochan,22.0,F-G,6-8,230.0,"May 20, 2003",US,3,"Jeremy
Sochan","$7,096,231",7.096231,SAS
4,Julian Champagnie,24.0,F,6-8,220.0,"June 29, 2001",US,3,"Julian
Champagnie","$3,000,000",3.0,SAS
5,Keldon Johnson,25.0,G,6-5,220.0,"October 11, 1999",US,6,"Keldon
Johnson","$17,500,000",17.5,SAS
6,Kelly Olynyk,34.0,C-F,6-11,240.0,"April 19, 1991",CA,12,"Kelly
Olynyk","$13,445,122",13.445122,SAS
7,Luke Kornet,30.0,C-F,7-2,250.0,"July 15, 1995",US,8,"Luke
Kornet","$11,000,000",11.0,SAS
8,Stephon Castle,20.0,G,6-6,215.0,"November 1, 2004",US,1,"Stephon
Castle","$9,560,520",9.56052,SAS
9,Victor Wembanyama,21.0,C-F,7-3,235.0,"January 4, 2004",FR,2,"Victor
Wembanyama","$13,376,880",13.37688,SAS
0,A.J. Lawson,25.0,G,6-6,179.0,"July 15, 2000",CA,3,"A.J.
Lawson","$2,270,735",2.270735,TOR
1,Brandon Ingram,28.0,F,6-8,190.0,"September 2, 1997",US,9,"Brandon
Ingram","$38,095,238",38.095238,TOR
2,Gradey Dick,21.0,G,6-6,205.0,"November 20, 2003",US,2,"Gradey
Dick","$4,990,560",4.99056,TOR
3,Immanuel Quickley,26.0,G,6-3,190.0,"June 17, 1999",US,5,"Immanuel
Quickley","$32,500,000",32.5,TOR
4,Ja'Kobe Walter,20.0,G,6-5,180.0,"September 4, 2004",US,1,"Ja'Kobe
Walter","$3,638,160",3.63816,TOR
5,Jakob Poeltl,29.0,C,7-0,245.0,"October 15, 1995",AT,9,"Jakob
Poeltl","$19,500,000",19.5,TOR
6,Jamal Shead,23.0,G,6-0,200.0,"June 24, 2002",US,1,"Jamal
Shead","$1,955,377",1.955377,TOR
7,Jamison Battle,24.0,F,6-7,220.0,"May 10, 2001",US,1,"Jamison
Battle","$1,955,377",1.955377,TOR
8,Jonathan Mogbo,23.0,F,6-9,225.0,"October 29, 2001",US,1,"Jonathan
Mogbo","$1,955,377",1.955377,TOR
9,Ochai Agbaji,25.0,G,6-5,215.0,"April 20, 2000",US,3,"Ochai
Agbaji","$6,383,525",6.383525,TOR
10,RJ Barrett,25.0,G-F,6-6,214.0,"June 14, 2000",CA,6,"RJ
Barrett","$27,705,357",27.705357,TOR
11,Scottie Barnes,24.0,G-F,6-7,227.0,"August 1, 2001",US,4,"Scottie
Barnes","$38,661,750",38.66175,TOR
0,Brice Sensabaugh,21.0,F,6-6,235.0,"October 30, 2003",US,2,"Brice
Sensabaugh","$2,693,760",2.69376,UTA
1,Cody Williams,20.0,G-F,6-7,190.0,"November 20, 2004",US,1,"Cody
Williams","$5,742,480",5.74248,UTA
2,Collin Sexton,26.0,G,6-3,190.0,"January 4, 1999",US,7,"Collin
Sexton","$19,175,000",19.175,UTA
3,Georges Niang,32.0,F,6-7,230.0,"June 17, 1993",US,9,"Georges
Niang","$8,200,000",8.2,UTA
4,Isaiah Collier,20.0,G,6-3,210.0,"October 8, 2004",US,1,"Isaiah
Collier","$2,638,200",2.6382,UTA
5,KJ Martin,24.0,F,6-6,215.0,"January 6, 2001",US,5,"KJ
Martin","$8,025,000",8.025,UTA
6,Kevin Love,36.0,F-C,6-8,251.0,"September 7, 1988",US,17,"Kevin
Love","$4,150,000",4.15,UTA
7,Keyonte George,21.0,G,6-4,185.0,"November 8, 2003",US,2,"Keyonte
George","$4,278,960",4.27896,UTA
8,Kyle Anderson,31.0,F-G,6-9,230.0,"September 20, 1993",US,11,"Kyle
Anderson","$9,219,512",9.219512,UTA
9,Kyle Filipowski,21.0,F-C,6-11,250.0,"November 7, 2003",US,1,"Kyle
Filipowski","$3,000,000",3.0,UTA
10,Lauri Markkanen,28.0,F-C,7-0,240.0,"May 22, 1997",FI,8,"Lauri
Markkanen","$46,394,100",46.3941,UTA
11,Svi Mykhailiuk,28.0,G-F,6-7,205.0,"June 10, 1997",UA,7,"Svi
Mykhailiuk","$3,675,000",3.675,UTA
12,Taylor Hendricks,21.0,F,6-9,210.0,"November 22, 2003",US,2,"Taylor
Hendricks","$6,127,080",6.12708,UTA
13,Walker Kessler,24.0,C,7-0,245.0,"July 26, 2001",US,3,"Walker
Kessler","$4,878,938",4.878938,UTA
0,AJ Johnson,20.0,G,6-4,160.0,"December 1, 2004",US,1,"AJ
Johnson","$3,090,480",3.09048,WAS
1,Alex Sarr,20.0,F,7-0,205.0,"April 26, 2005",FR,1,"Alex
Sarr","$11,808,240",11.80824,WAS
2,Bilal Coulibaly,21.0,F,6-8,195.0,"July 26, 2004",FR,2,"Bilal
Coulibaly","$7,275,600",7.2756,WAS
3,Bub Carrington,20.0,G,6-4,190.0,"July 21, 2005",US,1,"Bub
Carrington","$4,677,600",4.6776,WAS
4,CJ McCollum,33.0,G,6-3,190.0,"September 19, 1991",US,12,"CJ
McCollum","$30,666,666",30.666666,WAS
5,Cam Whitmore,21.0,F,6-7,232.0,"July 8, 2004",US,2,"Cam
Whitmore","$3,539,760",3.53976,WAS
6,Corey Kispert,26.0,G-F,6-7,220.0,"March 3, 1999",US,4,"Corey
Kispert","$13,975,000",13.975,WAS
7,Justin Champagnie,24.0,F,6-6,200.0,"June 29, 2001",US,4,"Justin
Champagnie","$2,349,578",2.349578,WAS
8,Khris Middleton,34.0,F-G,6-7,222.0,"August 12, 1991",US,13,"Khris
Middleton","$33,296,296",33.296296,WAS
9,Kyshawn George,21.0,G,6-7,200.0,"December 12, 2003",CH,1,"Kyshawn
George","$2,966,760",2.96676,WAS
10,Malaki Branham,22.0,G,6-4,180.0,"May 12, 2003",US,3,"Malaki
Branham","$4,962,033",4.962033,WAS
